x,y_name,y,action,direction,meters,degshours,object1,nearest,relation1,object2,relation2,object3,self,gaze,type,subset,fold
обойди окрестности по кругу радиусом 58m,circle,9,0,0,10,0,0,0,0,0,0,0,0,0,generator,train,-1
начинай патрулирование по кругу радиуса 27 метров,circle,9,0,0,8,0,0,0,0,0,0,0,0,0,generator,train,-1
разведка по орбите размером 7м,circle,9,0,0,4,0,0,0,0,0,0,0,0,0,generator,train,-1
неси дозор по кругу 17m,circle,9,0,0,6,0,0,0,0,0,0,0,0,0,generator,train,-1
неси патрульную службу по орбите радиуса 18m,circle,9,0,0,7,0,0,0,0,0,0,0,0,0,generator,train,-1
разведка по кольцу радиусом 19м,circle,9,0,0,7,0,0,0,0,0,0,0,0,0,generator,train,-1
охраняй по окружности размером 27м,circle,9,0,0,8,0,0,0,0,0,0,0,0,0,generator,train,-1
разведывай местность по круговой траектории радиусом 23 метра,circle,9,0,0,8,0,0,0,0,0,0,0,0,0,generator,train,-1
разведуй местность по касательной радиусом 8m,circle,9,0,0,4,0,0,0,0,0,0,0,0,0,generator,train,-1
патрулируй по касательной радиуса 82m,circle,9,0,0,11,0,0,0,0,0,0,0,0,0,generator,valid,-1
обойди окрестности по орбите радиусом 60м,circle,9,0,0,10,0,0,0,0,0,0,0,0,0,generator,train,-1
иди в дозор по кольцу размером 45m,circle,9,0,0,10,0,0,0,0,0,0,0,0,0,generator,train,-1
разведывай по круговой траектории 5m,circle,9,0,0,3,0,0,0,0,0,0,0,0,0,generator,valid,-1
разведывай по кольцу радиуса 1м,circle,9,0,0,1,0,0,0,0,0,0,0,0,0,generator,train,-1
начинай патрулирование по круговой траектории радиусом 17м,circle,9,0,0,6,0,0,0,0,0,0,0,0,0,generator,train,-1
наблюдай за местностью по кругу размером 25m,circle,9,0,0,8,0,0,0,0,0,0,0,0,0,generator,valid,-1
разведуй местность по касательной к кругу размером 20м,circle,9,0,0,7,0,0,0,0,0,0,0,0,0,generator,train,-1
охраняй по круговой траектории 63м,circle,9,0,0,10,0,0,0,0,0,0,0,0,0,generator,train,-1
разведывай местность по круговой траектории радиуса 18 метров,circle,9,0,0,7,0,0,0,0,0,0,0,0,0,generator,train,-1
разведуй местность по орбите размером 1 метр,circle,9,0,0,1,0,0,0,0,0,0,0,0,0,generator,valid,-1
разведывай по орбите 6m,circle,9,0,0,3,0,0,0,0,0,0,0,0,0,generator,train,-1
неси патрульную службу по окружности радиуса 53 метра,circle,9,0,0,10,0,0,0,0,0,0,0,0,0,generator,train,-1
неси дозор по орбите размером 89 м,circle,9,0,0,12,0,0,0,0,0,0,0,0,0,generator,train,-1
неси патрульную службу по кругу радиусом 4 метра,circle,9,0,0,2,0,0,0,0,0,0,0,0,0,generator,train,-1
осуществляй обход местности по орбите размером 1 метр,circle,9,0,0,1,0,0,0,0,0,0,0,0,0,generator,train,-1
охраняй по окружности размером 103 м,circle,9,0,0,12,0,0,0,0,0,0,0,0,0,generator,train,-1
патрулируй по кольцу 2m,circle,9,0,0,1,0,0,0,0,0,0,0,0,0,generator,train,-1
разведывай по круговой траектории 17м,circle,9,0,0,6,0,0,0,0,0,0,0,0,0,generator,train,-1
следи за обстановкой вокруг по кругу 83 м,circle,9,0,0,11,0,0,0,0,0,0,0,0,0,generator,train,-1
иди в патруль по кольцу радиусом 6м,circle,9,0,0,3,0,0,0,0,0,0,0,0,0,generator,train,-1
обойди окрестности по окружности размером 45 м,circle,9,0,0,10,0,0,0,0,0,0,0,0,0,generator,train,-1
иди в патруль по касательной к кругу размером 21 метр,circle,9,0,0,7,0,0,0,0,0,0,0,0,0,generator,train,-1
патрулируй по орбите размером 4m,circle,9,0,0,2,0,0,0,0,0,0,0,0,0,generator,train,-1
разведывай по кругу радиусом 69 м,circle,9,0,0,11,0,0,0,0,0,0,0,0,0,generator,train,-1
неси патрульную службу по орбите радиусом 8 метров,circle,9,0,0,4,0,0,0,0,0,0,0,0,0,generator,train,-1
осуществляй обход местности по кругу 3 метра,circle,9,0,0,2,0,0,0,0,0,0,0,0,0,generator,train,-1
следи за обстановкой вокруг по окружности 26 м,circle,9,0,0,8,0,0,0,0,0,0,0,0,0,generator,train,-1
иди в дозор по орбите радиусом 12m,circle,9,0,0,5,0,0,0,0,0,0,0,0,0,generator,train,-1
разведуй местность по касательной к кругу радиусом 21m,circle,9,0,0,7,0,0,0,0,0,0,0,0,0,generator,train,-1
неси патрульную службу по касательной размером 15 метров,circle,9,0,0,6,0,0,0,0,0,0,0,0,0,generator,train,-1
неси дозор по кругу 43 метра,circle,9,0,0,10,0,0,0,0,0,0,0,0,0,generator,train,-1
иди в дозор по касательной к кругу размером 19 м,circle,9,0,0,7,0,0,0,0,0,0,0,0,0,generator,train,-1
патрулируй по касательной размером 10м,circle,9,0,0,5,0,0,0,0,0,0,0,0,0,generator,train,-1
разведка по кольцу радиусом 74 метра,circle,9,0,0,11,0,0,0,0,0,0,0,0,0,generator,train,-1
охраняй по касательной к кругу 4 м,circle,9,0,0,2,0,0,0,0,0,0,0,0,0,generator,train,-1
неси патрульную службу по касательной радиуса 78m,circle,9,0,0,11,0,0,0,0,0,0,0,0,0,generator,train,-1
разведуй местность по касательной 26м,circle,9,0,0,8,0,0,0,0,0,0,0,0,0,generator,train,-1
неси дозор по окружности радиусом 41m,circle,9,0,0,9,0,0,0,0,0,0,0,0,0,generator,train,-1
неси патрульную службу по окружности размером 6м,circle,9,0,0,3,0,0,0,0,0,0,0,0,0,generator,train,-1
разведывай местность по касательной размером 12м,circle,9,0,0,5,0,0,0,0,0,0,0,0,0,generator,train,-1
начинай патрулирование по орбите 9 м,circle,9,0,0,5,0,0,0,0,0,0,0,0,0,generator,valid,-1
обойди окрестности по круговой траектории радиусом 13м,circle,9,0,0,5,0,0,0,0,0,0,0,0,0,generator,train,-1
неси дозор по окружности 4м,circle,9,0,0,2,0,0,0,0,0,0,0,0,0,generator,train,-1
иди в дозор по касательной 7 метров,circle,9,0,0,4,0,0,0,0,0,0,0,0,0,generator,train,-1
иди в патруль по орбите размером 4m,circle,9,0,0,2,0,0,0,0,0,0,0,0,0,generator,train,-1
начинай патрулирование по касательной к кругу размером 9м,circle,9,0,0,5,0,0,0,0,0,0,0,0,0,generator,train,-1
начинай патрулирование по окружности радиуса 28м,circle,9,0,0,9,0,0,0,0,0,0,0,0,0,generator,train,-1
неси патрульную службу по кольцу радиусом 29м,circle,9,0,0,9,0,0,0,0,0,0,0,0,0,generator,train,-1
патрулируй по орбите размером 28m,circle,9,0,0,9,0,0,0,0,0,0,0,0,0,generator,train,-1
неси дозор по окружности радиусом 15m,circle,9,0,0,6,0,0,0,0,0,0,0,0,0,generator,train,-1
разведуй местность по круговой траектории радиусом 3m,circle,9,0,0,2,0,0,0,0,0,0,0,0,0,generator,train,-1
разведывай по орбите радиусом 9m,circle,9,0,0,5,0,0,0,0,0,0,0,0,0,generator,train,-1
