x,y_name,y,action,direction,meters,degshours,object1,nearest,relation1,object2,relation2,object3,subset
"топай к останцу правее железного коня, который около дуба",relation2,8,6,0,0,0,11,0,5,14,1,2,train
двигайся в сторону севера на 8m,meter,2,4,5,2,0,0,0,0,0,0,0,train
сделай поворот в левую сторону на 2:30,hour,4,5,4,0,5,0,0,0,0,0,0,train
"сократи расстояние между собой и автомобилем, располагающимся перед возвышенностью",relation1,7,6,0,0,0,14,0,3,7,0,0,train
поворачивай в правую сторону 70 °,degree,3,5,3,0,5,0,0,0,0,0,0,train
"сократи расстояние между собой и ограждением, которое располагается за канавой",relation1,7,6,0,0,0,12,0,2,5,0,0,train
следуй к свалившемуся человеку спереди от авто,relation1,7,6,0,0,0,9,0,3,14,0,0,train
отыщи расщелину,object,5,6,0,0,0,8,0,0,0,0,0,train
следуй к близкому свету,nearest,6,6,0,0,0,13,1,0,0,0,0,train
"сократи дистанцию до берёзы, которая рядом с столбом",relation1,7,6,0,0,0,2,0,1,13,0,0,train
"сократи дистанцию до рытвины, которая за рощей",relation1,7,6,0,0,0,5,0,2,4,0,0,train
соверши поворот в восточную сторону 321 градус,degree,3,5,7,0,22,0,0,0,0,0,0,test
начинай поворачивать на запад на 103°,degree,3,5,8,0,7,0,0,0,0,0,0,train
повернись направо на 2 часа 0 минут,hour,4,5,3,0,4,0,0,0,0,0,0,train
"сократи расстояние между собой и дубом, находящимся позади канавы",relation1,7,6,0,0,0,2,0,2,5,0,0,train
"сократи расстояние между собой и канавой спереди от деревца, располагающегося за ограждением",relation2,8,6,0,0,0,5,0,3,2,2,12,train
начинай поворачивать на север на полчаса,hour,4,5,5,0,1,0,0,0,0,0,0,train
"найди разлом, находящийся около ограждения, находящегося справа от тачки",relation2,8,6,0,0,0,8,0,1,12,5,14,train
поезжай к ближней избе,nearest,6,6,0,0,0,1,1,0,0,0,0,train
"езжай к валуну, который позади избы, которая спереди от горы",relation2,8,6,0,0,0,11,0,2,1,3,7,train
отыщи разрыв,object,5,6,0,0,0,8,0,0,0,0,0,train
топай к близкому препятствию,nearest,6,6,0,0,0,12,1,0,0,0,0,train
иди к ближней дубраве,nearest,6,6,0,0,0,4,1,0,0,0,0,train
двигайся  23 метра,meter,2,4,3,4,0,0,0,0,0,0,0,train
тебе нужно подъехать к ближайшему срубленному дереву,nearest,6,6,0,0,0,3,1,0,0,0,0,train
"сократи дистанцию до булыжника, который находится за светом, который рядом с деревцем",relation2,8,6,0,0,0,10,0,2,13,1,2,test
иди на юг 92М,meter,2,4,6,8,0,0,0,0,0,0,0,train
сократи расстояние между собой и канавой,object,5,6,0,0,0,5,0,0,0,0,0,test
соверши поворот на южный край на 239°,degree,3,5,6,0,16,0,0,0,0,0,0,train
поворачивай влево 282 °,degree,3,5,4,0,19,0,0,0,0,0,0,test
"сократи расстояние между собой и упавшим человеком, располагающимся перед булыжником слева от берёзы",relation2,8,6,0,0,0,9,0,3,10,4,2,test
"сократи расстояние между собой и валуном слева от разрыва, который располагается около столба",relation2,8,6,0,0,0,11,0,4,8,1,13,train
"сократи дистанцию до рощи перед срубленным деревом, которое правее дамы",relation2,8,6,0,0,0,4,0,3,3,5,6,train
поезжай к возвышенности,object,5,6,0,0,0,7,0,0,0,0,0,train
"найди автомобиль, располагающийся сзади от чащи, которая располагается спереди от лежащего человека",relation2,8,6,0,0,0,14,0,2,4,3,9,train
соверши поворот на север на 259 градусов,degree,3,5,5,0,17,0,0,0,0,0,0,train
двигайся  75 метров,meter,2,4,3,7,0,0,0,0,0,0,0,train
"сократи дистанцию до разрыва справа от столба, располагающегося левее упавшего дерева",relation2,8,6,0,0,0,8,0,5,13,4,3,train
сократи расстояние между собой и сосной рядом с авто,relation1,7,6,0,0,0,2,0,1,14,0,0,train
"сократи расстояние между собой и холмом за преградой, находящейся спереди от валуна",relation2,8,6,0,0,0,7,0,2,12,3,11,train
"сократи дистанцию до берёзы, которая сзади от барьера, который левее упавшего человека",relation2,8,6,0,0,0,2,0,2,12,4,9,test
повернись на южный край на 162°,degree,3,5,6,0,11,0,0,0,0,0,0,train
"сократи расстояние между собой и постройкой рядом с автомобилем, располагающимся рядом с лампой",relation2,8,6,0,0,0,1,0,1,14,1,13,train
"сократи расстояние между собой и останцем, который находится левее провала",relation1,7,6,0,0,0,11,0,4,5,0,0,train
начинай поворачивать налево 52 °,degree,3,5,4,0,4,0,0,0,0,0,0,train
отправляйся на северный край на 89M,meter,2,4,5,7,0,0,0,0,0,0,0,train
поворачивай в правую сторону 255°,degree,3,5,3,0,17,0,0,0,0,0,0,train
сделай поворот в сторону востока на 312 градусов,degree,3,5,7,0,21,0,0,0,0,0,0,test
"направляйся к чаще, находящейся перед упавшим деревом, располагающимся рядом с ограждением",relation2,8,6,0,0,0,4,0,3,3,1,12,test
"отыщи впадину за барьером, который спереди от расщелины",relation2,8,6,0,0,0,5,0,2,12,3,8,train
заворачивай на южный край 215 градусов,degree,3,5,6,0,15,0,0,0,0,0,0,train
"отыщи свет, который перед поваленным деревом, которое правее ямы",relation2,8,6,0,0,0,13,0,3,3,5,5,test
"сократи расстояние между собой и сосной, которая располагается неподалеку от автомобиля",relation1,7,6,0,0,0,2,0,1,14,0,0,train
отправляйся к близлежащему валуну,nearest,6,6,0,0,0,11,1,0,0,0,0,test
шагай к останцу,object,5,6,0,0,0,11,0,0,0,0,0,train
найди близкий лес,nearest,6,6,0,0,0,4,1,0,0,0,0,train
в правую сторону на 315°,degree,3,5,3,0,21,0,0,0,0,0,0,train
иди задом на 3 метра,meter,2,4,2,1,0,0,0,0,0,0,0,train
следуй  на 37М,meter,2,4,3,5,0,0,0,0,0,0,0,train
беги к ближайшей тачке,nearest,6,6,0,0,0,14,1,0,0,0,0,train
"сократи дистанцию до валуна, который располагается слева от авто, которое спереди от провала",relation2,8,6,0,0,0,11,0,4,14,3,5,train
начинай движение напролом,direction,1,2,1,0,0,0,0,0,0,0,0,test
сократи дистанцию до сосны спереди от лесополосы,relation1,7,6,0,0,0,2,0,3,4,0,0,train
отправляйся в сторону востока 60m,meter,2,4,7,6,0,0,0,0,0,0,0,train
поворачивай на север на 6:30,hour,4,5,5,0,13,0,0,0,0,0,0,train
"найди дерево слева от останца, который слева от строения",relation2,8,6,0,0,0,2,0,4,11,4,1,train
"шагай к дубу, который позади кучи, которая находится неподалеку от упавшего дерева",relation2,8,6,0,0,0,2,0,2,7,1,3,test
поворачивай на север на 3 градуса,degree,3,5,5,0,1,0,0,0,0,0,0,train
"сократи дистанцию до товарища, который располагается перед горкой, которая справа от ямы",relation2,8,6,0,0,0,6,0,3,7,5,5,test
поворачивай на запад на 129 °,degree,3,5,8,0,9,0,0,0,0,0,0,train
"найди разрыв, который располагается сзади от деревца",relation1,7,6,0,0,0,8,0,2,2,0,0,train
"сократи расстояние между собой и лампой, располагающейся правее разлома левее сломанного дерева",relation2,8,6,0,0,0,13,0,5,8,4,3,test
отправляйся на северный край на 41M,meter,2,4,5,6,0,0,0,0,0,0,0,train
следуй вперед 88M,meter,2,4,1,7,0,0,0,0,0,0,0,test
соверши поворот по левую руку на 10:30,hour,4,5,4,0,21,0,0,0,0,0,0,train
сделай поворот направо 285°,degree,3,5,3,0,19,0,0,0,0,0,0,train
"найди столб, находящийся за оврагом, находящимся за ольхой",relation2,8,6,0,0,0,13,0,2,5,2,2,train
"сократи дистанцию до сосны, которая правее рытвины",relation1,7,6,0,0,0,2,0,5,5,0,0,train
"найди гору, располагающуюся справа от тачки",relation1,7,6,0,0,0,7,0,5,14,0,0,test
сократи расстояние между собой и преградой правее трещины,relation1,7,6,0,0,0,12,0,5,8,0,0,train
"сократи дистанцию до сломанного дерева, которое находится справа от камня, который находится за машиной",relation2,8,6,0,0,0,3,0,5,10,2,14,train
беги к близлежащей избе,nearest,6,6,0,0,0,1,1,0,0,0,0,train
сократи расстояние между собой и берёзой справа от останца около трещины,relation2,8,6,0,0,0,2,0,5,11,1,8,test
начинай поворачивать в западную сторону,direction,1,3,8,0,0,0,0,0,0,0,0,train
"отыщи железного коня левее барьера, располагающегося спереди от лесополосы",relation2,8,6,0,0,0,14,0,4,12,3,4,train
"езжай к лесополосе, которая слева от пригорка, который располагается за камушком",relation2,8,6,0,0,0,4,0,4,7,2,10,train
