x;y_name;y;action;direction;meters;degshours;object1;nearest;relation1;object2;relation2;object3;self;gaze;delayed;type
повернись 4:0 на западный край;hour;4;5;8;0;8;0;0;0;0;0;0;0;0;0;generator
заворчивай на 8:30 на северный край;hour;4;5;5;0;17;0;0;0;0;0;0;0;0;0;generator
сделай поворот 11:30;hour;4;5;3;0;23;0;0;0;0;0;0;0;0;0;generator
начинай заворчивать 8 0 0 в левую сторону;hour;4;5;4;0;16;0;0;0;0;0;0;0;0;0;generator
повернись 6,5 часов на южный край;hour;4;5;6;0;13;0;0;0;0;0;0;0;0;0;generator
соверши поворот в сторону севера 4,5 часа;hour;4;5;5;0;9;0;0;0;0;0;0;0;0;0;generator
соверши поворот 9 0 0 налево;hour;4;5;4;0;18;0;0;0;0;0;0;0;0;0;generator
поворачивай 3 30 налево;hour;4;5;4;0;7;0;0;0;0;0;0;0;0;0;generator
поворачивай на 6 30;hour;4;5;3;0;13;0;0;0;0;0;0;0;0;0;generator
соверши поворот на 6,5 часов в сторону запада;hour;4;5;8;0;13;0;0;0;0;0;0;0;0;0;generator
попробуй заворчивать 8:30 в северную сторону;hour;4;5;5;0;17;0;0;0;0;0;0;0;0;0;generator
начинай заворчивать 11:0 в западную сторону;hour;4;5;8;0;22;0;0;0;0;0;0;0;0;0;generator
сделай поворот в сторону востока на 10:30;hour;4;5;7;0;21;0;0;0;0;0;0;0;0;0;generator
соверши поворот на 4 часа;hour;4;5;3;0;8;0;0;0;0;0;0;0;0;0;generator
сделай поворот пол 9 направо;hour;4;5;3;0;17;0;0;0;0;0;0;0;0;0;generator
соверши поворот в северную сторону на 1 час;hour;4;5;5;0;2;0;0;0;0;0;0;0;0;0;generator
соверши поворот на пол 4 на восток;hour;4;5;7;0;7;0;0;0;0;0;0;0;0;0;generator
заворчивай влево на полтора часа;hour;4;5;4;0;3;0;0;0;0;0;0;0;0;0;generator
попробуй заворчивать на пол 3 вправо;hour;4;5;3;0;5;0;0;0;0;0;0;0;0;0;generator
попробуй поворачивать 2 30 налево;hour;4;5;4;0;5;0;0;0;0;0;0;0;0;0;generator
сделай поворот на 6 0 0 на север;hour;4;5;5;0;12;0;0;0;0;0;0;0;0;0;generator
соверши поворот в сторону запада 10 0 0;hour;4;5;8;0;20;0;0;0;0;0;0;0;0;0;generator
заворчивай на 7:0;hour;4;5;3;0;14;0;0;0;0;0;0;0;0;0;generator
сделай поворот на 7:30;hour;4;5;3;0;15;0;0;0;0;0;0;0;0;0;generator
соверши поворот пол 12 в северную сторону;hour;4;5;5;0;23;0;0;0;0;0;0;0;0;0;generator
заворчивай 9,5 часов на запад;hour;4;5;8;0;19;0;0;0;0;0;0;0;0;0;generator
соверши поворот направо 6 0 0;hour;4;5;3;0;12;0;0;0;0;0;0;0;0;0;generator
начинай поворачивать на 10 30;hour;4;5;3;0;21;0;0;0;0;0;0;0;0;0;generator
начни заворчивать 11 30 на восточный край;hour;4;5;7;0;23;0;0;0;0;0;0;0;0;0;generator
заворчивай пол 7 на западный край;hour;4;5;8;0;13;0;0;0;0;0;0;0;0;0;generator
повернись на западный край 10:0;hour;4;5;8;0;20;0;0;0;0;0;0;0;0;0;generator
заворчивай на 5:00;hour;4;5;3;0;10;0;0;0;0;0;0;0;0;0;generator
повернись на 3 часа по левую руку;hour;4;5;4;0;6;0;0;0;0;0;0;0;0;0;generator
соверши поворот 6:00;hour;4;5;3;0;12;0;0;0;0;0;0;0;0;0;generator
повернись на запад на 6:30;hour;4;5;8;0;13;0;0;0;0;0;0;0;0;0;generator
сделай поворот в левую сторону на 0,5 часов;hour;4;5;4;0;1;0;0;0;0;0;0;0;0;0;generator
повернись в левую сторону 2 30;hour;4;5;4;0;5;0;0;0;0;0;0;0;0;0;generator
соверши поворот в сторону севера на 8 0 0;hour;4;5;5;0;16;0;0;0;0;0;0;0;0;0;generator
пытайся заворчивать 12 часов;hour;4;5;3;0;24;0;0;0;0;0;0;0;0;0;generator
пытайся поворачивать на 12 часов;hour;4;5;3;0;24;0;0;0;0;0;0;0;0;0;generator
поворачивай на 10 30 в сторону запада;hour;4;5;8;0;21;0;0;0;0;0;0;0;0;0;generator
попробуй поворачивать 7:00;hour;4;5;3;0;14;0;0;0;0;0;0;0;0;0;generator
соверши поворот в западную сторону на 8:00;hour;4;5;8;0;16;0;0;0;0;0;0;0;0;0;generator
начинай поворачивать на запад 6 часов;hour;4;5;8;0;12;0;0;0;0;0;0;0;0;0;generator
соверши поворот на 9 часов влево;hour;4;5;4;0;18;0;0;0;0;0;0;0;0;0;generator
